Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central African Republic,CAF,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.205964582,4.318267047,4.173417492,4.367412577,4.245032332,3.971326117,4.0936219,4.201244308,3.717524742,3.964882814,3.688259963,3.621793986,3.580550311,3.395432226,3.973054321,3.929356745,3.656701281,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.81797682,16.22896862,15.59775116,13.89549977,14.13286692,12.36150685,11.28853827,10.30253411,9.958817218,8.56557571,8.553615882,7.925866339,7.699895293,7.756131411,8.116954449,6.842615141,6.507660653,6.321326619,6.363074812,6.268270948,6.137933332,6.400192928,6.486311931,6.390886349,6.527125314,,,,,
Switzerland,CHE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.206972711,8.838863668,8.331186813,8.445567536,7.515140053,6.363986558,6.609737616,6.141273545,6.048878366,5.410101105,5.317887363,5.214862131,4.999525895,5.031169345,5.321647394,4.627482315,4.422779731,4.266316802,4.039549333,4.559998859,4.612503729,4.362119493,4.460990469,4.388860277,4.442379576,2.108250483,,,,
Channel Islands,CHI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.126697627,5.980789062,6.437822791,7.0580171,5.91024855,5.061573121,5.283315787,5.410951195,4.927395294,4.03983293,3.299100004,2.770522754,2.87823129,3.318364384,3.736202254,2.893849154,2.901825614,3.525100391,3.597013343,3.764003476,4.827553065,5.397162294,5.26903793,4.652417816,4.244399754,1.299340683,,,,
China,CHN,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.984366661,9.358110976,10.01174241,9.112847893,9.112440788,8.780160369,4.194618398,4.589312251,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.090675067,1.115444516,1.197016551,1.126361817,1.323710428,1.689732049,1.360675992,1.316043607,1.470584282,1.403998556,1.711806596,4.043444591,3.959292551,4.211116689,3.991820518,1.506227395,,,,
Cameroon,CMR,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.675939154,6.045663672,4.769620252,4.735612925,4.222945635,4.937589437,6.442043793,4.135294296,8.484668013,5.544147875,5.404972407,4.743812751,4.009863439,2.270588679,5.080100786,3.046369978,5.624370975,5.10501903,7.561116558,7.312150618,7.066866763,8.130812621,8.30711907,8.669952379,8.808916609,7.135340677,,,,
"Congo, Dem. Rep.",COD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116533139,0.098801632,0.010702873,0.009093271,0.478001952,0.12067896,0.111641025,0.076402972,0.070534532,0.359290988,0.000956195,0.035793511,0.051474317,0.376205306,,,,,,
"Congo, Rep.",COG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067607324,0.630758183,,,0.79098012,0.470616643,1.026783927,1.038460685,1.057435132,0.63524764,,,0.535026531,0.445265233,1.355753728,0.432835813,0.407837451,0.661710094,0.55121166,0.597614562,0.92313937,0.932705842,,,,,,,,
Colombia,COL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229243146,10.3647754,9.253375319,9.074494167,8.830446897,8.306622522,9.845262795,8.676250913,7.572536137,7.818785369,7.666790088,8.211566107,7.447107782,6.749950136,7.827285107,7.423247756,5.928577185,6.375837611,7.028183405,7.551987918,11.23460806,13.16612871,11.96026796,12.38738305,13.21798253,5.125101604,,,,
Comoros,COM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00848762,,,,,,,,25.93478862,37.51008362,42.71282818,45.53148653,42.46988245,50.24876529,41.40284899,40.22019396,42.29581786,43.89024438,,50.17946586,53.19636268,46.71586982,47.27121775,49.33428751,51.12171288,26.83599153,,,,
Cabo Verde,CPV,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.73797307,36.49069747,37.16221247,39.80433362,45.11708228,45.48867908,48.07516332,53.59420881,54.92314514,53.57154835,50.01568251,59.30334758,66.28900171,60.83666492,62.04750547,61.46656151,55.98522007,58.60952294,57.4129478,50.67651983,57.5770253,55.49185585,56.69471642,53.9615198,56.39838258,39.92892288,,,,
Costa Rica,CRI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6551164,19.60465986,19.93738733,19.7613785,20.19548936,25.12652845,22.7438793,21.86512792,22.27047945,22.21174889,22.9065777,20.87056675,22.32142604,23.19682894,20.56348504,19.38627519,18.78779428,18.32638816,20.04995371,18.94130965,19.87635988,20.26034935,19.36278054,18.96087114,18.82659242,7.405313624,,,,
Caribbean small states,CSS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.44861279,38.72976719,39.24589308,39.67997756,38.87742138,33.71617215,32.59315997,33.60483086,31.13753599,30.52621707,23.42006256,19.1544415,20.61511007,15.96193659,23.52766016,21.00267322,15.64606387,16.9603431,16.46906125,24.35556299,29.93533659,37.07007004,32.95431867,33.35879219,32.05111737,,,,,
Cuba,CUB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.68476771,28.8466994,35.96159607,36.04059293,36.24450423,36.09548979,32.38741868,31.21920658,39.77549785,27.7981251,,,,
Cayman Islands,CYM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07838632,21.75649266,23.01074276,22.92499679,,,,,
Cyprus,CYP,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8101674,40.50686374,40.65914294,41.17072531,42.75099554,42.5783031,41.44669704,40.46611479,36.92339928,34.44694557,32.85825782,31.46089929,30.21232135,23.07232138,19.47688021,16.4864554,17.59918359,18.84184346,19.94362673,19.11782547,18.12561889,19.34477435,19.22008817,17.98963214,16.35990496,3.253311097,,,,
Czechia,CZE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.079314477,8.704104049,7.171617661,6.838692514,6.616028409,6.194299391,6.148253077,6.711997175,5.887772879,5.484537238,5.16162954,4.840401657,4.434457479,4.467596914,4.534096415,4.430010171,4.308666035,4.258434006,2.275682809,,,,
Germany,DEU,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.303470114,4.282742784,4.460796357,4.455829124,4.388861628,4.273731528,4.016019981,4.062774326,3.790036437,3.753321016,3.890469358,3.822385051,3.471178855,3.408239348,3.836036942,3.576073412,3.34718371,3.352831752,3.486203175,3.542184289,3.463002898,3.537693405,3.488030338,3.430576592,3.473143575,,,,,
Djibouti,DJI,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.771597643,2.417472277,2.152020182,4.471149976,3.799166292,4.191655068,4.028361403,3.903449816,2.727297778,2.712079892,2.466417318,3.196068925,2.218291085,2.132881695,4.00593945,4.27682291,4.575033787,4.481445195,0.675465824,0.692443146,0.876450979,1.239360737,0.873006638,1.249159569,,,,,,
Dominica,DMA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08457986,36.11161773,34.99675956,31.00188112,32.52397374,29.48419059,29.45345401,28.7108145,28.78884245,32.49114604,32.91435491,35.952086,38.07303273,36.57818093,37.8630212,40.21862229,43.95674876,36.34471716,36.64743519,79.30362596,77.60278931,75.74923336,77.00340036,75.07778037,,,,,,
Denmark,DNK,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.621811946,5.086513602,5.078327343,5.126790795,5.300414817,4.973903505,5.294922216,5.832784024,5.478666607,5.075679684,4.221771764,3.867967446,3.624238142,3.264155461,3.692634228,3.497462338,3.416211743,3.408681163,3.427867937,3.935211369,3.968529468,4.466534003,4.624237216,4.495131439,,,,,,
Dominican Republic,DOM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.17902594,44.01334487,45.20199845,45.02959446,48.18832845,48.45979193,50.32193087,48.44376619,48.80865074,45.54998866,46.43243671,45.74705395,42.84479305,44.94163844,50.72599942,33.91874822,30.95676205,31.09017943,31.92033493,33.21024504,36.01121082,37.02724147,37.8276483,37.70752605,,,,,,
